"1","ALMEIRIM","2081-901 ALMEIRIM"
"2","MURTA-CHAMUSCA","2140 CHAMUSCA"
"3","ALMEIRIM","2080 ALMEIRIM"
"4","ALPIARCA","2090 ALPIARCA"
"5","CASAIS NOVOS","2580-357 ALENQUER"
"6","CASAIS DO VALE DO BREJO","2050 AVEIRAS DE CIMA"
"7","FOROS DE BENFICA","2080 BENFICA DO RIBATEJO"
"8","VALE DE SANTAREM","2000 SANTAREM"
"9","FRADE DE CIMA","2090 ALPIARCA"
"10","PACO DOS NEGROS","2080-640 PACO DOS NEGROS"
"11","ALPIARCA","2090 ALPIARCA"
"13","SALVATERRA DE MAGOS","2120-051 SALVATERRA DE MAGOS"
"14","ALMEIRIM","2080 ALMEIRIM"
"15","ALMEIRIM","2080 ALMEIRIM"
"16","-","2050-176 AVEIRAS DE CIMA"
"17","CARCAVELOS","2775 CASCAIS"
"18","-","2120-191 FOROS DE SALVATERRA"
"19","-","2580-491 CARREGADO"
"20","BENFICA DO RIBATEJO","2080-331 BENFICA DO RIBATEJO"
"21","AZOIA DE BAIXO","2000 SANTAREM"
"22","FRADE DE BAIXO","2090 ALPIARCA"
"23","-","2080 ALMEIRIM"
"24","PANCAS","2580 ALENQUER"
"25","AZEITADA","2080 BENFICA DO RIBATEJO"
"26","ALPIARCA","2090 ALPIARCA"
"27","CASAIS COMEIRAS-AV.CIMA","2050 AZAMBUJA"
"28","ALMEIRIM","2080 ALMEIRIM"
"29","BONITOS","3100 POMBAL"
"30","BENFICA DO RIBATEJO","2080 BENFICA DO RIBATEJO"
"32","FETEIRA","2080 ALMEIRIM"
"33","ALMEIRIM","2080 ALMEIRIM"
"34","PACOS NEGROS","2080 ALMEIRIM"
"35","SANTO ANTONINHO","2100 CORUCHE"
"36","SANTAREM","2000 SANTAREM"
"37","RUA NOE PEREIRA N.91/101/105","4420-028 FANZERES  GONDOMAR"
"38","ALMEIRIM","2080 ALMEIRIM"
"39","ALMEIRIM","2080 ALMEIRIM"
"41","ALMEIRIM","2080 ALMEIRIM"
"42","MARIANOS","2080 ALMEIRIM"
"43","ALCANHOES","2000 SANTAREM"
"44","PEROFILHO","2005-024 VARZEA"
"45","-","2000 SANTAREM"
"46","ALPIARCA","2090-056 ALPIARCA"
"47","FAZENDAS DE ALMEIRIM","2080-600 FAZENDAS DE ALMEIRIM"
"48","CHAMUSCA","2140-080 CHAMUSCA"
