"1146","1a"
"2442","1b"
"517","1c"
"4610","2a"
"2277","2b"
"6553","3a"
"6134","3b"
"5280","4a"
"6575","4b"
"847","5a"
"2707","5b"
"1301","6a"
"2247","6b"
"1301","7a"
"1985","7b"
"5251","7c"
"2244","8a"
"13","8b"
"7408","8c"
"6439","9a"
"7612","9b"
"6575","9c"
"2397","10a"
"6586","10b"
"5280","11a"
"7549","11b"
"6196","12a"
"5156","13a"
"5156","14a"
"7698","15a"
"5282","17a"
"5654","18a"
"6270","18b"
"1552","19a"
"5337","19b"
"6553","20a"
"6560","21a"
"4658","22a"
"4444","24a"
"6626","24b"
"3851","25a"
"6439","26a"
"2427","27a"
"3707","28a"
"209","29a"
"6602","29b"
"5966","30a"
"3495","30b"
"2793","32a"
"5287","33a"
"5909","34a"
"1969","35a"
"7869","35b"
"847","36a"
"2844","36b"
"2023","37a"
"3830","38a"
"1985","38b"
"517","39a"
"3100","40a"
"7234","41a"
"6632","43a"
"2758","44a"
"5381","44b"
"2244","45a"
"5966","45b"
"4116","47a"
"4815","48a"
"5877","49a"
"2707","50a"
"6127","52a"
"2427","52b"
"178","53a"
"6127","53b"
"8126","54a"
"2279","57a"
"7549","58a"
"6270","60a"
"7387","61a"
"319","62a"
"847","62b"
"5909","63a"
"5721","64a"
"4601","65a"
"7558","65b"
"6134","66a"
"1301","66b"
"4502","67a"
"7883","67b"
"5287","68a"
"6121","69a"
"2369","69b"
"445","70a"
"1327","70b"
"2707","71a"
"2613","71b"
"2707","72a"
"247","72b"
"8374","73a"
"2707","74a"
"7149","74b"
"7442","74c"
"6831","75a"
"7149","75b"
"4389","75c"
"7417","76a"
"6846","76b"
"6553","77a"
"6560","77b"
"461","78a"
"8486","78b"
"392","79a"
"8486","79b"
"4357","79c"
"7614","80a"
"6232","80b"
"2793","81a"
"2023","83a"
"6602","83b"
"2130","84a"
"7690","84b"
"6561","85a"
"6561","86a"
"7123","86b"
"2248","87a"
"6280","87b"
"2844","88a"
"6846","89a"
"4865","89b"
"2844","90a"
"6270","90b"
"3100","90c"
"4500","91a"
"6846","92a"
"6846","93a"
"2707","93b"
"7799","94a"
"4176","94b"
"6269","94c"
"1667","94d"
"5337","95a"
"4444","95b"
"6026","95c"
"4437","95d"
"6831","96a"
"8108","96b"
"7423","96c"
"4766","97a"
"178","97b"
"2793","98a"
"4722","98b"
"4693","99a"
"6134","99b"
"4716","99c"
"3851","100a"
"7866","100b"
"7408","101a"
"4610","101b"
"4437","102a"
"1815","102b"
"8545","102c"
"3990","103a"
"4888","103b"
"8545","103c"
"2247","104a"
"8844","104b"
"2844","104c"
"7738","105a"
"4459","105b"
"6846","105c"
"8486","106a"
"5337","106b"
"6846","106c"
"4652","107a"
"2277","107b"
"2844","107c"
"247","108a"
"5966","109a"
"7856","109b"
"1456","110a"
"4116","110b"
"1146","111a"
"6586","111b"
"392","112a"
"518","112b"
"6831","112c"
"8486","113a"
"7883","113b"
"6576","114a"
"6602","115a"
"7610","116a"
"8486","117a"
"1815","118a"
"6344","119a"
"1800","119b"
"7417","120a"
"4860","121a"
"5694","122a"
"7472","123a"
"7391","124a"
"3356","125a"
"4389","125b"
"4953","125c"
"1985","126a"
"2381","126b"
"7558","127a"
"4622","127b"
"6561","128a"
"7525","128b"
"4444","128c"
"7883","128d"
"2516","129a"
"2240","129b"
"7964","129c"
"8486","129d"
"178","129e"
"7166","130a"
"2241","130b"
"1377","130c"
"8844","131a"
"7502","131b"
"6937","131c"
"6304","132a"
"6799","132b"
"5847","133a"
"7883","134a"
"4800","134b"
"4537","135a"
"7462","136a"
"7807","136b"
"7357","137a"
"4116","137b"
"2597","137c"
"7799","138a"
"6134","138b"
"4187","138c"
"238","139a"
"6103","139b"
"6518","139c"
"1800","140a"
"6820","140b"
"6943","140c"
"7066","141a"
"6884","141b"
"6943","141c"
"3583","141d"
"6244","141e"
"6943","142a"
