"c 1000U1500001","02A101222"
"c 1000U1500003","02U4640"
"c 1000U1500004","02SP251"
"c 1001U1500003","02SP251"
"c 1002U1500002","02U4640"
"c 1002U1500003","02SP251"
"c 1003U1500002","02U4640"
"c 1003U1500003","02SP251"
"c 1004U1500001","02NT274B"
"c 1005U1500003","32102"
"c 1005U1500004","32100"
"c 1006U1500001","01BC500"
"c 1007U1500001","05117-FUNG"
"c 1007U1500002","05010-FUNG"
"c 1007U1500003","12037"
"c 1007U1500004","12038"
"c 1007U1500005","12074"
"c 1007U1500006","12004"
"c 1007U1500007","04I2454"
"c 1007U1500008","66112"
"c 1007U1500009","04162-RAT"
"c 1009U1500001","316630"
"c 100U1500001","312572"
"c 100U1500002","311560"
"c 100U1500003","315679"
"c 1010U1500001","211125"
"c 1010U1500002","02NT2725"
"c 1010U1500003","2.122E+28"
"c 1010U1500004","02NT27"
"c 1011U1500001","03173-HERB"
"c 1011U1500002","03008-HERB"
"c 1012U1500001","01TS2"
"c 1013U1500001","09PD4"
"c 1013U1500002","12073"
"c 1013U1500003","02SM25"
"c 1013U1500004","04PD1012"
"c 1014U1500002","02NT274"
"c 1015U1500001","316630"
"c 1016U1500001","02S32ND"
"c 1017U1500001","31035"
"c 1017U1500002","314121"
"c 1018U1500001","05021-HERB"
"c 1018U1500002","07015-INS"
"c 1019U1500001","02TH15PGEL"
"c 101U1500001","02B101022"
"c 101U1500002","02A101022"
"c 1020U1500001","04H2411"
"c 1020U1500002","12211"
"c 1021U1500001","01ORGB650"
"c 1021U1500002","02A61020B6"
"c 1022U1500001","21115"
"c 1022U1500002","02NT2725"
"c 1023U1500001","314121"
"c 1024U1500001","05021-HERB"
"c 1024U1500002","07015-INS"
"c 1025U1500001","02SA5"
"c 1026U1500001","02U46BG"
"c 1026U1500002","02U4640G"
"c 1028U1500001","09HERB4"
"c 1029U1500001","66VAP"
"c 102U1500001","315573"
"c 102U1500002","312572"
"c 102U1500003","315599"
"c 1031U1500001","316532S"
"c 1032U1500001","310933"
"c 1032U1500002","311574"
"c 1033U1500001","02NT27B6"
"c 1034U1500001","12004"
"c 1034U1500002","1226"
"c 1035U1500001","02F22600"
"c 1035U1500002","020030B"
"c 1035U1500003","12081"
"c 1035U1500004","04H2307"
"c 1035U1500005","12291"
"c 1035U1500006","1254"
"c 1035U1500007","09I1203"
"c 1035U1500008","663009"
"c 1036U1500001","311574"
"c 1036U1500002","310933"
"c 1037U1500001","02CP500"
"c 1037U1500002","0218460B6"
"c 1038U1500001","2.122E+28"
"c 1038U1500002","211125"
"c 1038U1500003","02NT2725"
"c 1038U1500004","213102025"
"c 1039U1500001","28280"
"c 103U1500001","120014"
"c 103U1500002","05025-HERB"
"c 103U1500003","07002-INS"
"c 103U1500004","07072-HERB"
"c 103U1500005","07073-HERB"
"c 1040U1500001","313374C"
"c 1041U1500001","0225150B"
"c 1041U1500002","0218460B6"
"c 1041U1500003","020040B"
"c 1042U1500001","05118-FUNG"
"c 1042U1500002","99T"
"c 1043U1500001","02NT01230B6"
"c 1044U1500001","01SUB3"
"c 1045U1500001","0282424B6"
"c 1046U1500001","120332"
"c 1047U1500001","21846025"
"c 1048U1500001","3117581"
"c 1048U1500002","310725Y"
"c 1048U1500003","310933"
"c 1048U1500004","310423S"
"c 1049U1500001","311574"
"c 1049U1500002","311535"
"c 1049U1500003","310725Y"
"c 1049U1500004","310933"
"c 1049U1500005","310640"
"c 104U1500001","02AF32"
"c 1050U1500001","3117581"
"c 1052U1500001","91707"
"c 1052U1500002","10079-P.DIV"
"c 1053U1500002","313439"
"c 1057U1500002","28242425"
"c 1057U1500003","01BC500"
"c 1058U1500001","09HERB2"
"c 1058U1500002","06000-HERB"
"c 1058U1500004","220810"
"c 1059U1500001","02UMO10"
"c 105U1500001","02NT274B"
"c 1060U1500001","02UMO10"
"c 1061U1500001","02UMO10"
"c 1062U1500001","09PD2"
"c 1062U1500002","12037"
"c 1062U1500003","12074"
"c 1062U1500004","12001"
"c 1063U1500001","02R10126B"
"c 1063U1500002","6657"
"c 1063U1500003","02KSC14405"
"c 1063U1500004","02KSC15535"
"c 1063U1500005","02KSC"
"c 1063U1500006","02KSCS"
"c 1064U1500001","316532S"
"c 1064U1500002","99T"
"c 1065U1500001","66VAP1000"
"c 1066U1500001","28242425"
"c 1066U1500002","120331"
"c 1066U1500003","03048-HERB"
"c 1066U1500004","66031"
"c 1067U1500001","316532S"
"c 1068U1500001","0282424B6"
"c 1068U1500002","21846025"
"c 1070U1500001","66VAP1000"
"c 1071U1500001","02A81212"
"c 1072U1500001","311574"
"c 1072U1500002","310725P"
"c 1073U1500001","02NT01230B6"
"c 1073U1500002","0225150B"
"c 1074U1500001","02S46B"
"c 1074U1500002","02CP500"
"c 1074U1500003","02NB25"
"c 1075U1500001","04F1104"
"c 1076U1500001","04F1104"
"c 1076U1500002","04H3211"
"c 1077U1500001","314124"
"c 1077U1500002","3141241"
"c 1079U1500001","12245"
"c 1079U1500002","202017"
"c 107U1500001","24000"
"c 1080U1500001","0282424B6"
"c 1081U1500001","12291"
"c 1081U1500002","05068-FUNG"
"c 1081U1500003","050681-FUNG"
"c 1082U1500001","02TH24"
"c 1083U1500001","07015-INS"
"c 1083U1500002","07013-INS"
"c 1084U1500001","05021-HERB"
"c 1084U1500002","05020-HERB"
"c 1085U1500001","02NT274B600"
"c 1085U1500002","12245"
"c 1086U1500001","12426"
"c 1086U1500002","02NM25"
"c 1086U1500003","644563"
"c 1087U1500001","02U46B"
"c 1087U1500002","663117"
"c 1087U1500003","12006"
"c 1088U1500001","02U46B"
"c 1088U1500002","663117"
"c 1088U1500003","12006"
"c 1089U1500001","02U46B"
"c 108U1500001","120332"
"c 108U1500002","661103"
"c 108U1500003","120350"
"c 1090U1500001","02U46B"
"c 1090U1500002","663117"
"c 1091U1500001","02U46B"
"c 1091U1500002","663117"
"c 1091U1500003","12006"
"c 1092U1500001","1241"
"c 1093U1500001","02TH24"
"c 1094U1500001","220810"
"c 1095U1500001","22020"
"c 1096U1500001","02FMA25"
"c 1096U1500002","02NAM25"
"c 1096U1500003","02SM25"
"c 1096U1500004","4800182"
"c 1096U1500005","99T"
"c 1098U1500001","311535"
"c 1098U1500002","310725P"
"c 1099U1500001","02TH5"
"c 109U1500001","2.122E+28"
"c 109U1500002","31BKO25"
"c 109U1500003","312565"
"c 109U1500004","312560"
"c 10U1500001","31573"
"c 1100U1500001","122111"
"c 1100U1500002","12004"
"c 1100U1500003","12033"
"c 1101U1500001","01BC500"
"c 1102U1500001","02SAGB500"
"c 1103U1500001","01ORG"
"c 1104U1500001","2003025"
"c 1104U1500002","22625"
"c 1105U1500001","311574"
"c 1106U1500001","311574"
"c 1107U1500001","09I1202"
"c 1107U1500002","120331"
"c 1107U1500003","12033"
"c 1107U1500004","06024-HERB"
"c 1107U1500005","02SM25"
"c 1108U1500001","09PE1109"
"c 1109U1500001","663117"
"c 1109U1500002","663116"
"c 1110U1500001","09HERB4"
"c 1112U1500001","09I1515"
"c 1113U1500001","311517"
"c 1113U1500002","311574"
"c 1113U1500003","31234"
"c 1113U1500004","316532S"
"c 1114U1500001","0225150B"
"c 1114U1500002","020040B"
"c 1115U1500001","05117-FUNG"
"c 1115U1500003","12037"
"c 1115U1500004","09HERB1"
"c 1115U1500006","664634"
"c 1115U1500007","04H2410"
"c 1115U1500008","04F2501"
"c 1115U1500009","1253"
"c 1116U1500001","02NT274B600"
"c 1118U1500001","04F1203"
"c 1119U1500001","02NT27425"
"c 1119U1500002","02NT2725"
"c 1119U1500003","2.122E+28"
"c 1119U1500004","02S134013"
"c 1119U1500005","02SA25G"
"c 1120U1500001","02TH24"
"c 1121U1500001","311517"
"c 1121U1500002","311535"
"c 1121U1500003","313374C"
"c 1121U1500004","3164471"
"c 1122U1500001","05021-HERB"
"c 1122U1500002","120332"
"c 1122U1500003","12541"
"c 1123U1500001","313374C"
"c 1124U1500001","05021-HERB"
"c 1124U1500002","12541"
"c 1125U1500001","61601"
"c 1125U1500002","61600"
"c 1126U1500001","05025-HERB"
"c 1127U1500001","05021-HERB"
"c 1128U1500001","310725P"
"c 1129U1500001","31080"
"c 112U1500001","22020"
"c 1130U1500001","02TH24"
"c 1131U1500001","04F3203"
"c 1131U1500002","12037"
"c 1132U1500001","02NPG25"
"c 1133U1500001","02A61020"
"c 1133U1500002","28242425"
"c 1135U1500001","09HERB4"
"c 1136U1500001","02ASTX25"
"c 1138U1500001","02SAGY500"
"c 1138U1500002","02SAG25K"
"c 1138U1500003","1204120"
"c 1139U1500001","02NCR25"
"c 1139U1500002","02U4640"
"c 1141U1500001","12201"
"c 1142U1500001","02SMG500"
"c 1142U1500002","02F22600"
"c 1142U1500003","12041"
"c 1142U1500004","08F2115"
"c 1142U1500005","121031"
"c 1142U1500006","661103"
"c 1142U1500007","66240"
"c 1142U1500008","07050-HERB"
"c 1143U1500001","3141241"
"c 1143U1500002","211480"
"c 1143U1500003","120332"
"c 1144U1500001","12437"
"c 1144U1500002","12502"
"c 1144U1500003","12541"
"c 1144U1500004","02U4640"
"c 1145U1500001","01ORG"
"c 1145U1500002","02A81212"
"c 1145U1500003","12048"
"c 1148U1500001","020040B"
"c 1148U1500002","02121120B"
"c 1148U1500003","2251525"
"c 1148U1500004","21846025"
"c 1148U1500005","310725P"
"c 1148U1500006","3121114"
"c 1148U1500007","310423S"
"c 1148U1500008","316031G"
"c 1148U1500009","02NT27425"
"c 1148U1500010","310933"
"c 114U1500001","02NT274B"
"c 1150U1500001","02U4640"
"c 1151U1500001","220200500"
"c 1152U1500002","02NT01230B6"
"c 1152U1500003","08F2114"
"c 1152U1500004","12135"
"c 1152U1500005","661103"
"c 1153U1500001","05021-HERB"
"c 1154U1500001","05021-HERB"
"c 1154U1500002","05020-HERB"
"c 1155U1500001","05020-HERB"
"c 1158U1500001","02TH24"
"c 1158U1500002","02TH30"
"c 1159U1500001","05117-FUNG"
"c 1159U1500002","07162-HERB"
"c 1159U1500003","07160-HERB"
"c 115U1500001","66112"
"c 115U1500002","04162-RAT"
"c 115U1500003","09PD2"
"c 115U1500004","120-RAT"
"c 115U1500005","312565"
"c 115U1500006","312568"
"c 115U1500007","31BKO25"
"c 115U1500008","315569"
"c 1160U1500001","31R309"
"c 1161U1500001","07002-INS"
"c 1161U1500002","07050-HERB"
"c 1162U1500002","0218460B6"
"c 1162U1500004","05020-HERB"
"c 1163U1500001","310933"
"c 1163U1500002","316031G"
"c 1164U1500001","05021-HERB"
"c 1164U1500002","05019-HERB"
"c 1165U1500001","04F2702"
"c 1165U1500002","04F2801"
"c 1166U1500001","05025-HERB"
"c 1167U1500001","02SM25"
"c 1168U1500001","05025-HERB"
"c 1169U1500001","04PD1012"
"c 1169U1500002","665252"
"c 116U1500001","2.122E+28"
"c 1170U1500001","05000-FUNG"
"c 1171U1500001","05000-FUNG"
"c 1172U1500001","05000-FUNG"
"c 1174U1500001","04F4002"
"c 1174U1500002","04I1551"
"c 1174U1500003","04I1552"
"c 1174U1500004","12325"
"c 1175U1500001","09I1203"
"c 1175U1500002","1241"
"c 1175U1500003","10079-P.DIV"
"c 1176U1500001","04H2307"
"c 1177U1500001","19PP70"
"c 1177U1500002","1835"
"c 1178U1500001","02A61020B6"
"c 1179U1500001","020030B"
"c 1180U1500001","01BC500"
"c 1180U1500002","02A61020B6"
"c 1181U1500001","05000-FUNG"
"c 1182U1500001","2.122E+28"
"c 1182U1500002","211125"
"c 1182U1500003","02NT27425"
"c 1182U1500004","09PE1109"
"c 1183U1500001","101691"
"c 1184U1500001","64457"
"c 1185U1500001","66240"
"c 1186U1500001","12245"
"c 1187U1500001","66VAP1000"
"c 1188U1500002","0215350B6"
"c 1193U1500001","20265600"
"c 1194U1500001","02CP500"
"c 1195U1500001","12006"
"c 1196U1500001","12006"
"c 1197U1500001","07015-INS"
"c 1199U1500001","66112"
"c 1199U1500002","09I1201"
"c 1199U1500003","04I1209"
"c 1199U1500004","04PE1802"
"c 1199U1500005","04F2701"
"c 1199U1500006","04H2410"
"c 1199U1500007","12007"
"c 1199U1500008","12004"
"c 119U1500001","66224"
"c 11U1500001","315573"
"c 11U1500002","315670"
"c 11U1500003","02A81212"
"c 1200U1500001","02121217N"
"c 1201U1500001","316532S"
"c 1202U1500001","0282424B6"
"c 1202U1500002","28280"
"c 1202U1500003","05021-HERB"
"c 1203U1500001","02NC25"
"c 1205U1500001","315031"
"c 1205U1500002","315741"
"c 1205U1500003","315190"
"c 1206U1500001","01BC500"
"c 1207U1500001","0282424B6"
"c 1207U1500003","02SS1640"
"c 1208U1500001","310725P"
"c 1209U1500001","05021-HERB"
"c 1209U1500002","02NT274B600"
"c 1210U1500001","0225150B"
"c 1211U1500001","66VAP1000"
"c 1213U1500001","0282424B6"
"c 1213U1500002","05021-HERB"
"c 1214U1500001","310084"
"c 1215U1500002","020040B"
"c 1215U1500003","2101"
"c 1215U1500004","04H3308"
"c 1217U1500003","04H3308"
"c 1218U1500004","2101"
"c 1218U1500005","04H3308"
"c 1219U1500004","04H3308"
"c 121U1500001","07072-HERB"
"c 1220U1500003","04H3308"
"c 1222U1500004","04H3308"
"c 1223U1500001","02NB25"
"c 1223U1500003","22020"
"c 1223U1500004","48219"
"c 1224U1500001","12004"
"c 1225U1500001","12073"
"c 1226U1500001","05117-FUNG"
"c 1226U1500002","04F2801"
"c 1226U1500003","09I1515"
"c 1226U1500004","12004"
"c 1226U1500005","12007"
"c 1227U1500001","0271827B6"
"c 1227U1500002","2251525"
"c 1228U1500001","0271827B6"
"c 1228U1500002","2251525"
"c 1229U1500001","3121114"
"c 1230U1500001","310725P"
"c 1230U1500002","3121114"
"c 1231U1500001","311574"
"c 1233U1500002","04H3308"
"c 1233U1500003","09I1213"
"c 1234U1500001","28280"
"c 1237U1500001","19PML190"
"c 1238U1500001","02AN27"
"c 1239U1500001","01BC500"
"c 123U1500001","2.122E+28"
"c 123U1500002","02NT2725"
"c 123U1500003","211125"
"c 123U1500004","02NT27425"
"c 123U1500005","02SA25G"
"c 123U1500006","02B101022"
"c 1240U1500001","026919B"
"c 1242U1500001","02TH24"
"c 1244U1500001","05005-FUNG"
"c 1245U1500001","814011"
"c 1246U1500001","12036"
"c 1247U1500001","09F1903"
"c 1247U1500002","12291"
"c 1249U1500001","026919B"
"c 1249U1500002","02S46B"
"c 124U1500001","2581530"
"c 124U1500002","04F1503"
"c 124U1500003","12425"
"c 1251U1500001","310012"
"c 1252U1500001","02FMA25"
"c 1252U1500002","02NAM25"
"c 1252U1500003","02NCR25"
"c 1252U1500004","02NM25"
"c 1252U1500005","02NP25"
"c 1252U1500006","02SA25G"
"c 1252U1500007","02SP251"
"c 1252U1500008","02SM25"
"c 1253U1500001","02S1825"
"c 1253U1500002","02NT2725"
"c 1255U1500001","316532S"
"c 1256U1500001","02TH5"
"c 1257U1500002","05025-HERB"
"c 1258U1500001","02S32N"
"c 1259U1500001","01ORG"
"c 1259U1500002","02B101022"
"c 1259U1500003","36120"
"c 125U1500001","312572"
"c 125U1500002","02GE8618B"
"c 1260U1500001","2.122E+28"
"c 1261U1500001","03088-INS"
"c 1261U1500002","05067-FUNG"
"c 1261U1500003","07013-FUNG"
"c 1262U1500001","03088-INS"
"c 1262U1500002","03026-FUNG"
"c 1263U1500001","04F1203"
"c 1263U1500002","66583"
"c 1265U1500001","12324"
"c 1265U1500002","04H2412"
"c 1266U1500001","02A81212B6"
"c 1267U1500001","02NT274B600"
"c 1267U1500002","020030B"
"c 1268U1500001","0282424B6"
"c 1269U1500001","311574"
"c 126U1500001","02SMID500"
"c 1270U1500001","313925S"
"c 1271U1500001","313374C"
"c 1271U1500002","316340S"
"c 1272U1500001","3100013"
"c 1272U1500002","310084"
"c 1273U1500001","09PD4"
"c 1274U1500001","02122412B6"
"c 1275U1500001","316630G"
"c 1275U1500002","310725P"
"c 1276U1500001","321155"
"c 1276U1500002","3211407"
