"c 1000U1500001","2221C15"
"c 1000U1500003","1738C15"
"c 1000U1500003","2222C15"
"c 1000U1500004","1738C15"
"c 1001U1500003","1738C15"
"c 1002U1500002","1726C15"
"c 1002U1500003","1726C15"
"c 1003U1500002","1753C15"
"c 1003U1500003","1753C15"
"c 1004U1500001","1603C15"
"c 1005U1500003","1149E15"
"c 1005U1500004","1149E15"
"c 1006U1500001","1585C15"
"c 1007U1500001","1028E15"
"c 1007U1500002","1028E15"
"c 1007U1500003","1028E15"
"c 1007U1500004","1028E15"
"c 1007U1500005","1028E15"
"c 1007U1500006","1028E15"
"c 1007U1500007","1028E15"
"c 1007U1500008","1028E15"
"c 1007U1500009","1028E15"
"c 1009U1500001","1817C15"
"c 100U1500001","160C15"
"c 100U1500002","160C15"
"c 100U1500003","160C15"
"c 1010U1500001","1599C15"
"c 1010U1500002","1599C15"
"c 1010U1500003","1599C15"
"c 1010U1500004","1599C15"
"c 1011U1500001","1077E15"
"c 1011U1500002","1077E15"
"c 1012U1500001","1612C15"
"c 1013U1500001","1043E15"
"c 1013U1500002","1043E15"
"c 1013U1500003","1604C15"
"c 1013U1500004","1043E15"
"c 1014U1500002","1633C15"
"c 1015U1500001","2187C15"
"c 1016U1500001","1909C15"
"c 1017U1500001","1841C15"
"c 1017U1500002","1841C15"
"c 1018U1500001","1204E15"
"c 1018U1500002","1204E15"
"c 1019U1500001","1806C15"
"c 101U1500001","135C15"
"c 101U1500002","135C15"
"c 1020U1500001","1047E15"
"c 1020U1500002","1047E15"
"c 1021U1500001","1630C15"
"c 1021U1500002","1630C15"
"c 1022U1500001","1598C15"
"c 1022U1500002","1598C15"
"c 1023U1500001","1772C15"
"c 1024U1500001","1205E15"
"c 1024U1500002","1205E15"
"c 1025U1500001","1601C15"
"c 1026U1500001","1596C15"
"c 1026U1500002","1596C15"
"c 1028U1500001","1037E15"
"c 1029U1500001","2587C15"
"c 102U1500001","161C15"
"c 102U1500002","161C15"
"c 102U1500003","161C15"
"c 1031U1500001","1901C15"
"c 1032U1500001","1856C15"
"c 1032U1500002","1856C15"
"c 1033U1500001","1669C15"
"c 1034U1500001","1079E15"
"c 1034U1500002","1079E15"
"c 1035U1500001","1643C15"
"c 1035U1500002","1643C15"
"c 1035U1500003","1061E15"
"c 1035U1500004","1061E15"
"c 1035U1500005","1061E15"
"c 1035U1500006","1061E15"
"c 1035U1500007","1061E15"
"c 1035U1500008","1061E15"
"c 1036U1500001","1728C15"
"c 1036U1500002","1728C15"
"c 1037U1500001","1923C15"
"c 1037U1500002","1923C15"
"c 1038U1500001","1595C15"
"c 1038U1500002","1595C15"
"c 1038U1500003","1595C15"
"c 1038U1500004","1595C15"
"c 1039U1500001","1729C15"
"c 103U1500001","121E15"
"c 103U1500002","121E15"
"c 103U1500003","121E15"
"c 103U1500004","121E15"
"c 103U1500005","121E15"
"c 1040U1500001","2806C15"
"c 1040U1500001","3090C15"
"c 1040U1500001","3554C15"
"c 1040U1500001","3821C15"
"c 1041U1500001","1727C15"
"c 1041U1500001","1751C15"
"c 1041U1500002","1727C15"
"c 1041U1500003","1751C15"
"c 1042U1500001","1097E15"
"c 1042U1500002","1097E15"
"c 1043U1500001","3420C15"
"c 1044U1500001","1605C15"
"c 1045U1500001","1632C15"
"c 1046U1500001","1049E15"
"c 1047U1500001","1606C15"
"c 1048U1500001","1812C15"
"c 1048U1500002","1812C15"
"c 1048U1500003","1812C15"
"c 1048U1500004","1812C15"
"c 1049U1500001","1810C15"
"c 1049U1500002","1810C15"
"c 1049U1500003","1810C15"
"c 1049U1500004","1810C15"
"c 1049U1500005","1810C15"
"c 104U1500001","134C15"
"c 104U1500001","141C15"
"c 1050U1500001","1811C15"
"c 1052U1500001","1042E15"
"c 1052U1500002","1042E15"
"c 1053U1500002","3209C15"
"c 1057U1500002","1690C15"
"c 1057U1500003","1690C15"
"c 1058U1500001","1054E15"
"c 1058U1500002","1054E15"
"c 1058U1500004","1616C15"
"c 1059U1500001","1843C15"
"c 105U1500001","167C15"
"c 1060U1500001","1844C15"
"c 1061U1500001","1846C15"
