"693E15","05025-P.DIV"
"941C15","01ORGB"
"977C15","01ORGB"
"1060C15","01ORGB"
"62C15","02NIT5"
"62C15","31BKO25"
"62C15","312332"
"62C15","315669"
"99C15","01BC25"
"99C15","213102025"
"47C15","312572"
"47C15","315599"
"38E15","10014"
"23C15","02NT274B600"
"14E15","04F2301"
"27C15","211125"
"27C15","1441"
"27C15","101691"
"27C15","02NT2725"
"27C15","02B101022"
"28C15","01ORG"
"29C15","31573"
"63C15","315573"
"63C15","315670"
"63C15","02A81212"
"65C15","020040B"
"65C15","02NT274B600"
"65C15","02NT01230B6"
"39C15","3615"
"30C15","02U46BG"
"36C15","02U46BG"
"30C15","02NT274B600"
"198C15","66VAP1000"
"43C15","31385"
"27E15","03006-HERB"
"35C15","31BJAER25"
"35C15","312565"
"35C15","312566"
"35C15","312572"
"35C15","315569"
"35C15","315669"
"37C15","101691"
"46E15","03006-HERB"
"76C15","0218460B"
"88C15","0226B500"
"88C15","02NT274B600"
"87C15","120045"
"58E15","121031"
"58E15","03088-INS"
"58E15","05071-FUNG"
"132E15","05000-FUNG"
"132E15","05051-INS"
"48C15","28242425"
"61C15","02121217NBB"
"61C15","02SMID500"
"49C15","3201"
"49C15","312575"
"619C15","315573"
"532C15","312572"
"68E15","12004"
"68E15","12007"
"68E15","124261"
"68E15","121012"
"60C15","315682"
"101C15","02H4000B"
"67C15","312572"
"100C15","31570"
"66C15","1806"
"66C15","02SA25G"
"43E15","31R2030"
"43E15","31R830"
"68C15","101691"
"68C15","02A81212"
"68C15","312572"
"68C15","312332"
"171C15","02NT27B6"
"88C15","120045"
"62E15","05071-FUNG"
"62E15","03088-INS"
"62E15","6697"
"57E15","6697"
"96C15","0282424B6"
"49E15","99T"
"67E15","04164-RAT"
"67E15","06004-HERB"
"67E15","04H2410"
"93C15","09PE1107"
"67E15","09PD2"
"84C15","02A61020"
"84C15","24131"
"157C15","02NT274B600"
"140C15","220810"
"140C15","2581530"
"140C15","02NT2725"
"140C15","02122E25"
"83C15","02NT274B600"
"94C15","312572"
"52E15","12004"
"52E15","12007"
"52E15","12005"
"52E15","03071-HERB"
"52E15","03070-HERB"
"184C15","02A101022"
"50E15","1254"
"50E15","12073"
"102C15","02NT274B600"
"95C15","02NT27425"
"95C15","2.122E+28"
"95C15","02A81212"
"95C15","220510"
"95C15","02121217N"
"95C15","21212175"
"95C15","02NIT5"
"127C15","01ORGB"
"127C15","02A61020B6"
"350C15","02U46BG"
"281C15","702686"
"281C15","4800768"
"281C15","704299"
"108C15","21846025"
"76E15","12005"
"76E15","12214"
"76E15","66582"
"148E15","09PD2"
"109E15","12006"
"109E15","09I1904"
"109E15","12426"
"209C15","0282424B6"
"106C15","0282424B6"
"124C15","0282424B6"
"93E15","12004"
"107C15","02A61020B6"
"139C15","2.122E+28"
"139C15","220810"
"139C15","213102025"
"109C15","31573"
"146C15","0218460B"
"133C15","020040B"
"80E15","91704"
"121C15","2001"
"80E15","08F1703"
"121C15","120045"
"81E15","32101"
"138C15","02NT27"
"138C15","312564"
"138C15","312332"
"138C15","312565"
"138C15","31BKO25"
"138C15","315669"
"138C15","315679"
"170C15","0210260B"
"170C15","220710"
"75E15","12086"
"114C15","01AGM30"
"146E15","1222"
"250C15","01SUB3"
"126C15","01BC500"
"123C15","02NT274B"
"115C15","0210260B"
"192C15","02NT274B600"
"160C15","312572"
"160C15","311560"
"160C15","315679"
"135C15","02B101022"
"135C15","02A101022"
"161C15","315573"
"161C15","312572"
"161C15","315599"
"121E15","07072-HERB"
"121E15","07073-HERB"
"121E15","120014"
"121E15","05025-HERB"
"121E15","07002-INS"
"134C15","02AF32"
"141C15","02AF32"
"167C15","02NT274B"
"308C15","24000"
"140E15","120332"
"140E15","661103"
"140E15","120350"
"145C15","2.122E+28"
"145C15","31BKO25"
"145C15","312565"
"145C15","312560"
"183C15","22020"
"176C15","02NT274B"
"181C15","315569"
"95E15","66112"
"95E15","04162-RAT"
"119E15","09PD2"
"95E15","120-RAT"
"181C15","312565"
"181C15","312568"
"181C15","31BKO25"
"137C15","2.122E+28"
"417E15","66224"
"129E15","07072-HERB"
"155C15","2.122E+28"
"155C15","02NT2725"
"155C15","211125"
"155C15","02NT27425"
"155C15","02SA25G"
"155C15","02B101022"
"164C15","2581530"
"103E15","04F1503"
"103E15","12425"
"162C15","312572"
"162C15","02GE8618B"
"223C15","02SMID500"
"224C15","02NT27B6"
"102E15","05003-FUNG"
"163C15","120045"
"190C15","02NT274"
"190C15","02A81212"
"268C15","312572"
"268C15","315569"
"396C15","31BAM25"
"396C15","31BKO25"
"396C15","261220"
"180C15","2003025"
"180C15","20720491"
"234C15","213102025"
"234C15","24131"
"234C15","312572"
"229C15","02U46BG"
"227C15","02SMID500"
"206C15","0224B"
"283C15","0224B"
"242C15","315682"
"199C15","02NT274B"
"196C15","02A10240"
"196C15","31570"
"111E15","12006"
"111E15","12005"
"112E15","12006"
"112E15","12005"
"113E15","12006"
"114E15","12005"
"204C15","02NT2725"
"204C15","101691"
"154E15","12216"
"154E15","09HERB4"
"154E15","663117"
"154E15","66129"
"243C15","4800061"
"243C15","4800018R"
"243C15","4800558"
"304C15","02GE8618B"
"177E15","12291"
"386C15","315569"
"130E15","03173-HERB"
"36V15","31R332"
"239C15","312565"
"267C15","319132"
"159E15","04I2206"
"159E15","12038"
"247C15","315598"
"247C15","312566"
"247C15","31BJAER25"
"254C15","02NT274B"
"255C15","02NT274B"
"147E15","120350"
"147E15","04F1101"
"268C15","02NPG25"
"160E15","1254"
"269C15","22020"
"269C15","02NPG25"
"286C15","315651"
"339C15","3201"
"339C15","48046"
"275C15","311560"
"335C15","02NT2725"
"335C15","02NT27425"
"335C15","315599"
"335C15","31BJAER25"
"169E15","91704"
"298C15","02A61020"
"298C15","2.122E+28"
"298C15","211125"
"265C15","31BROM25"
"161E15","122113"
"265E15","07160-HERB"
"265E15","07161-HERB"
"265E15","05117-FUNG"
"265E15","05010-FUNG"
"265E15","05064-FUNG"
"265E15","05019-HERB"
"265E15","03008-HERB"
"265E15","04164-RAT"
"3679C15","02H4010B"
"3885C15","02H4010B"
"3998C15","02H4010B"
"4751C15","02H4010B"
"5620C15","02H4010B"
"348C15","22020"
"292C15","127112"
"292C15","665251"
"176E15","09HERB4"
"176E15","663117"
"296C15","211125"
"296C15","01ORG"
"284C15","312572"
"175E15","05025-HERB"
"175E15","120014"
"318C15","1806"
"318C15","211125"
"318C15","02NT2725"
"188E15","31R2030"
"188E15","31R830"
"188E15","31R630"
"333C15","02NT274"
"333C15","31573"
"314C15","312572"
"297C15","02A61220B6"
"207E15","03009-HERB"
"189E15","04H3211"
"315C15","180201"
"303C15","31355"
"303C15","3136141"
"334C15","21115"
"334C15","02NIT5"
"334C15","02SA5"
"329C15","02NT274"
"329C15","02SA25G"
"329C15","312572"
"195E15","04H2809"
"195E15","04PD1012"
"194E15","12004"
"317C15","02A61020"
"319C15","02SM25"
"319C15","02SP25"
"316C15","312572"
"332C15","02NCR25"
"332C15","02NP25"
"332C15","02SM25"
"332C15","02FMNP25"
"332C15","66745"
"332C15","02AN27"
"332C15","02SP251"
"322C15","02NT274B"
"190E15","127112"
"190E15","12711"
"190E15","120460"
"190E15","12073"
"320C15","2001"
"201E15","120332"
"201E15","12032"
"475C15","66VAP1000"
"347C15","02SMGE25"
"346C15","31BJAER25"
"346C15","315679"
"346C15","313551"
"346C15","02NB25"
"355C15","2.122E+28"
"355C15","02NT2725"
"206E15","66252"
"358C15","211125"
"358C15","02NT2725"
"362C15","261220"
"362C15","1441"
"367C15","66VAP1000"
"367C15","02A61020B6"
"427C15","31BKO25"
"427C15","315599"
"383C15","01AGM600"
"383C15","02121217NBB"
"232E15","04I2207"
"232E15","12426"
"232E15","12124"
"354C15","02NCR25"
"354C15","02SM25"
"354C15","02NM25"
